customer_id,person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length
CUST_00001,21,9600,OWN,5.0,EDUCATION,B,1000,11.14,0,0.1,N,2
CUST_00002,25,9600,MORTGAGE,1.0,MEDICAL,C,5500,12.87,1,0.57,N,3
CUST_00003,23,65500,RENT,4.0,MEDICAL,C,35000,15.23,1,0.53,N,2
CUST_00004,24,54400,RENT,8.0,MEDICAL,C,35000,14.27,1,0.55,Y,4
CUST_00005,21,9900,OWN,2.0,VENTURE,A,2500,7.14,1,0.25,N,2
CUST_00006,26,77100,RENT,8.0,EDUCATION,B,35000,12.42,1,0.45,N,3
CUST_00007,24,78956,RENT,5.0,MEDICAL,B,35000,11.11,1,0.44,N,4
CUST_00008,24,83000,RENT,8.0,PERSONAL,A,35000,8.9,1,0.42,N,2
CUST_00009,21,10000,OWN,6.0,VENTURE,D,1600,14.74,1,0.16,N,3
CUST_00010,22,85000,RENT,6.0,VENTURE,B,35000,10.37,1,0.41,N,4
CUST_00011,21,10000,OWN,2.0,HOMEIMPROVEMENT,A,4500,8.63,1,0.45,N,2
CUST_00012,23,95000,RENT,2.0,VENTURE,A,35000,7.9,1,0.37,N,2
CUST_00013,26,108160,RENT,4.0,EDUCATION,E,35000,18.39,1,0.32,N,4
CUST_00014,23,115000,RENT,2.0,EDUCATION,A,35000,7.9,0,0.3,N,4
CUST_00015,23,140250,MORTGAGE,7.0,DEBTCONSOLIDATION,B,30000,10.65,0,0.06,N,3
CUST_00016,23,120000,RENT,0.0,EDUCATION,A,35000,7.9,0,0.29,N,4
CUST_00017,23,92111,RENT,7.0,MEDICAL,F,35000,20.25,1,0.32,N,4
CUST_00018,23,113000,RENT,8.0,DEBTCONSOLIDATION,D,35000,18.25,1,0.31,N,4
CUST_00019,24,10800,MORTGAGE,8.0,EDUCATION,B,1750,10.99,1,0.16,N,2
CUST_00020,25,140250,RENT,2.0,VENTURE,A,35000,7.49,0,0.22,N,4
CUST_00021,25,137000,RENT,9.0,PERSONAL,E,34800,16.77,0,0.25,Y,2
CUST_00022,22,65000,RENT,4.0,EDUCATION,D,34000,17.58,1,0.52,N,4
CUST_00023,24,10980,OWN,0.0,PERSONAL,A,1500,7.29,0,0.14,N,3
CUST_00024,22,80000,RENT,3.0,PERSONAL,D,33950,14.54,1,0.42,Y,4
CUST_00025,24,67746,RENT,8.0,HOMEIMPROVEMENT,C,33000,12.68,1,0.49,N,3
CUST_00026,21,11000,MORTGAGE,3.0,VENTURE,E,4575,17.74,1,0.42,Y,3
CUST_00027,23,11000,OWN,0.0,PERSONAL,A,1400,9.32,0,0.13,N,3
CUST_00028,24,65000,RENT,6.0,HOMEIMPROVEMENT,B,32500,9.99,1,0.5,N,3
CUST_00029,21,11389,OTHER,5.0,EDUCATION,C,4000,12.84,1,0.35,Y,2
CUST_00030,21,11520,OWN,5.0,MEDICAL,B,2000,11.12,1,0.17,N,3
CUST_00031,25,120000,RENT,2.0,VENTURE,A,32000,6.62,0,0.27,N,2
CUST_00032,26,95000,RENT,7.0,HOMEIMPROVEMENT,C,31050,14.17,1,0.33,Y,3
CUST_00033,25,140250,RENT,2.0,DEBTCONSOLIDATION,C,24250,13.85,0,0.08,N,3
CUST_00034,26,140250,MORTGAGE,10.0,MEDICAL,C,7800,13.49,0,0.03,N,4
CUST_00035,21,12000,OWN,5.0,EDUCATION,A,2500,7.51,1,0.21,N,4
CUST_00036,22,48000,RENT,1.0,EDUCATION,E,30000,18.39,1,0.63,N,2
CUST_00037,24,64000,RENT,8.0,DEBTCONSOLIDATION,D,30000,14.54,1,0.47,Y,3
CUST_00038,25,75000,RENT,4.0,HOMEIMPROVEMENT,D,30000,16.89,1,0.4,Y,4
CUST_00039,23,71500,RENT,3.0,DEBTCONSOLIDATION,D,30000,15.31,1,0.42,N,4
CUST_00040,26,62050,RENT,6.0,MEDICAL,E,30000,17.99,1,0.41,N,2
CUST_00041,24,12000,OWN,4.0,VENTURE,B,2500,12.69,1,0.21,N,3
CUST_00042,26,140250,MORTGAGE,10.0,VENTURE,A,20000,7.88,0,0.07,N,4
CUST_00043,23,140250,OWN,1.0,EDUCATION,F,24250,19.41,0,0.08,Y,2
CUST_00044,26,140250,OWN,9.0,HOMEIMPROVEMENT,B,10000,10.38,0,0.03,N,4
CUST_00045,26,140250,MORTGAGE,0.0,EDUCATION,D,25000,15.33,0,0.08,N,3
CUST_00046,25,140250,MORTGAGE,9.0,HOMEIMPROVEMENT,E,18000,16.45,0,0.06,N,3
CUST_00047,26,80690,RENT,8.0,PERSONAL,A,30000,7.49,1,0.37,N,3
CUST_00048,22,66300,RENT,4.0,MEDICAL,B,30000,12.69,1,0.38,N,3
CUST_00049,26,89028,RENT,0.0,DEBTCONSOLIDATION,A,30000,6.62,1,0.34,N,3
CUST_00050,24,78000,RENT,4.0,DEBTCONSOLIDATION,D,30000,15.31,1,0.38,Y,4
CUST_00051,23,78000,RENT,7.0,DEBTCONSOLIDATION,F,30000,18.62,1,0.38,Y,3
CUST_00052,23,92004,RENT,6.0,PERSONAL,C,30000,15.23,1,0.33,Y,3
CUST_00053,23,97000,RENT,7.0,VENTURE,B,30000,10.65,1,0.31,N,2
CUST_00054,25,120000,RENT,9.0,EDUCATION,A,30000,7.9,0,0.25,N,4
CUST_00055,26,140250,RENT,4.0,PERSONAL,C,10000,15.96,0,0.04,Y,3
CUST_00056,26,140250,RENT,0.0,VENTURE,B,20000,11.48,0,0.07,N,3
CUST_00057,23,140250,OWN,3.0,PERSONAL,A,35000,7.49,0,0.13,N,4
CUST_00058,25,128000,RENT,9.0,PERSONAL,A,30000,7.29,0,0.23,N,4
CUST_00059,24,12000,OWN,2.0,VENTURE,E,1750,16.82,0,0.15,Y,3
CUST_00060,21,131000,RENT,0.0,VENTURE,A,30000,5.99,0,0.23,N,4
CUST_00061,22,140250,OWN,6.0,VENTURE,B,12000,11.58,0,0.04,N,2
CUST_00062,26,140250,MORTGAGE,0.0,EDUCATION,B,10000,10.99,1,0.04,N,4
CUST_00063,25,140250,MORTGAGE,9.0,MEDICAL,D,25000,15.7,1,0.1,N,2
CUST_00064,22,70000,RENT,6.0,EDUCATION,D,29100,15.99,1,0.42,N,3
CUST_00065,22,12000,MORTGAGE,7.0,EDUCATION,D,1500,14.84,0,0.13,Y,3
CUST_00066,26,140250,OWN,10.0,HOMEIMPROVEMENT,B,28000,10.99,0,0.11,N,3
CUST_00067,25,140250,MORTGAGE,9.0,HOMEIMPROVEMENT,D,20000,14.42,0,0.08,Y,2
CUST_00068,24,140250,MORTGAGE,9.0,EDUCATION,A,9600,6.99,0,0.04,N,2
CUST_00069,25,140250,RENT,2.0,MEDICAL,C,25000,13.49,0,0.1,N,4
CUST_00070,25,12000,OWN,0.0,MEDICAL,C,3000,13.48,1,0.25,N,3
CUST_00071,22,56950,RENT,6.0,MEDICAL,A,28000,7.49,1,0.49,N,2
CUST_00072,21,12000,OWN,6.0,EDUCATION,C,3000,13.61,1,0.25,Y,3
CUST_00073,23,65000,RENT,2.0,EDUCATION,A,28000,7.9,1,0.43,N,2
CUST_00074,26,85000,RENT,2.0,VENTURE,A,28000,7.49,1,0.33,N,3
CUST_00075,26,12000,OWN,2.0,EDUCATION,A,6100,7.51,1,0.51,N,3
CUST_00076,22,88000,RENT,6.0,VENTURE,B,28000,9.91,1,0.32,N,3
CUST_00077,21,12000,OWN,0.0,PERSONAL,C,4200,13.48,1,0.35,Y,4
CUST_00078,22,12000,OWN,6.0,DEBTCONSOLIDATION,A,4750,7.14,1,0.4,N,2
CUST_00079,24,83004,RENT,0.0,VENTURE,D,28000,15.99,1,0.34,Y,4
CUST_00080,24,140250,RENT,2.0,EDUCATION,C,18000,12.98,0,0.07,Y,3
CUST_00081,25,100000,RENT,5.0,DEBTCONSOLIDATION,B,28000,12.69,0,0.28,N,3
CUST_00082,26,110000,RENT,10.0,EDUCATION,A,28000,8.9,0,0.25,N,2
CUST_00083,26,12000,OWN,0.0,DEBTCONSOLIDATION,A,2700,7.49,1,0.23,N,4
CUST_00084,22,108000,RENT,6.0,EDUCATION,B,28000,10.99,1,0.26,N,4
CUST_00085,23,140250,RENT,7.0,DEBTCONSOLIDATION,B,28000,11.11,0,0.19,N,2
CUST_00086,24,69000,RENT,2.0,HOMEIMPROVEMENT,A,27600,7.49,1,0.4,N,2
CUST_00087,21,12000,MORTGAGE,5.0,DEBTCONSOLIDATION,E,3250,15.68,1,0.27,Y,3
CUST_00088,22,70000,RENT,4.0,EDUCATION,C,27500,13.06,1,0.39,Y,3
CUST_00089,22,140250,OWN,6.0,PERSONAL,B,25000,10.99,0,0.1,N,2
CUST_00090,26,73200,RENT,5.0,VENTURE,D,27050,15.62,1,0.37,Y,2
CUST_00091,24,83000,RENT,5.0,PERSONAL,C,27000,13.49,1,0.33,Y,2
CUST_00092,24,73399,RENT,0.0,VENTURE,D,27000,15.31,1,0.37,N,3
CUST_00093,23,62500,RENT,7.0,MEDICAL,B,26000,11.71,1,0.42,N,2
CUST_00094,23,120000,RENT,1.0,EDUCATION,B,25600,12.69,0,0.21,N,3
CUST_00095,24,12360,OWN,2.0,MEDICAL,C,1600,13.57,0,0.13,N,3
CUST_00096,22,60000,RENT,0.0,VENTURE,B,25475,10.99,1,0.42,N,3
CUST_00097,25,140250,MORTGAGE,3.0,MEDICAL,C,20000,14.27,0,0.09,Y,4
CUST_00098,24,140250,OWN,8.0,HOMEIMPROVEMENT,B,20000,8.88,0,0.09,N,4
CUST_00099,26,140250,MORTGAGE,10.0,HOMEIMPROVEMENT,B,21600,12.18,0,0.09,N,3
CUST_00100,25,140250,MORTGAGE,6.0,DEBTCONSOLIDATION,D,11900,14.42,1,0.05,Y,3
CUST_00101,26,140250,MORTGAGE,0.0,MEDICAL,C,25000,14.17,0,0.11,Y,2
CUST_00102,25,140250,MORTGAGE,5.0,MEDICAL,C,35000,13.99,0,0.15,N,4
CUST_00103,23,83000,RENT,7.0,EDUCATION,B,25300,10.99,1,0.3,N,3
CUST_00104,22,12600,MORTGAGE,4.0,PERSONAL,A,2000,5.42,1,0.16,N,4
CUST_00105,25,12600,OWN,3.0,PERSONAL,C,1750,13.61,0,0.14,N,3
CUST_00106,21,42500,RENT,3.0,EDUCATION,C,25000,12.73,1,0.59,Y,3
CUST_00107,24,41000,RENT,2.0,HOMEIMPROVEMENT,D,25000,15.31,1,0.61,N,3
CUST_00108,25,12816,OWN,0.0,DEBTCONSOLIDATION,C,3000,12.87,1,0.23,Y,4
CUST_00109,24,12960,MORTGAGE,1.0,HOMEIMPROVEMENT,B,3650,9.91,1,0.28,N,3
CUST_00110,26,140250,MORTGAGE,4.0,HOMEIMPROVEMENT,B,20000,11.49,0,0.09,N,4
CUST_00111,25,140250,MORTGAGE,0.0,HOMEIMPROVEMENT,E,30000,19.91,0,0.13,Y,2
CUST_00112,26,140250,MORTGAGE,6.0,EDUCATION,B,35000,10.65,1,0.16,N,2
CUST_00113,24,140250,RENT,0.0,MEDICAL,B,6000,10.99,0,0.03,N,4
CUST_00114,24,12960,MORTGAGE,0.0,DEBTCONSOLIDATION,B,4500,11.83,1,0.35,N,4
CUST_00115,23,12996,OWN,0.0,DEBTCONSOLIDATION,C,2400,13.49,1,0.18,Y,2
CUST_00116,22,42000,RENT,6.0,MEDICAL,D,25000,14.59,1,0.6,Y,2
CUST_00117,26,48000,RENT,2.0,EDUCATION,B,25000,9.64,1,0.52,N,4
CUST_00118,25,12996,OWN,1.0,MEDICAL,D,3600,14.59,1,0.28,N,3
CUST_00119,22,12996,OWN,1.0,EDUCATION,B,4750,10.99,1,0.37,N,3
CUST_00120,25,42360,RENT,1.0,EDUCATION,E,25000,16.35,1,0.59,Y,3
CUST_00121,21,49000,RENT,4.0,EDUCATION,B,25000,10.99,1,0.51,N,2
CUST_00122,25,140250,MORTGAGE,0.0,VENTURE,F,25000,18.67,0,0.11,N,2
CUST_00123,26,140250,RENT,1.0,EDUCATION,A,3000,9.32,0,0.01,N,4
CUST_00124,23,140250,RENT,8.0,DEBTCONSOLIDATION,A,7500,8.63,0,0.03,N,2
CUST_00125,26,140250,MORTGAGE,2.0,VENTURE,B,25000,10.08,0,0.11,N,2
CUST_00126,22,49464,RENT,5.0,PERSONAL,B,25000,11.83,1,0.51,N,3
CUST_00127,23,50000,RENT,1.0,DEBTCONSOLIDATION,A,25000,7.9,1,0.5,N,3
CUST_00128,25,50000,RENT,4.0,HOMEIMPROVEMENT,A,25000,5.99,1,0.5,N,2
CUST_00129,24,44000,RENT,2.0,DEBTCONSOLIDATION,D,25000,15.33,1,0.57,N,2
CUST_00130,23,50000,RENT,1.0,VENTURE,B,25000,11.83,1,0.5,N,4
CUST_00131,22,50004,RENT,0.0,VENTURE,B,25000,10.36,1,0.5,N,2
CUST_00132,22,50004,RENT,3.0,VENTURE,C,25000,12.23,1,0.5,N,3
CUST_00133,22,52000,RENT,2.0,EDUCATION,B,25000,11.11,1,0.48,N,4
CUST_00134,23,13200,OWN,3.0,DEBTCONSOLIDATION,A,4950,7.9,1,0.38,N,4
CUST_00135,24,140250,MORTGAGE,1.0,EDUCATION,B,25000,11.58,0,0.11,N,2
CUST_00136,23,140250,MORTGAGE,5.0,DEBTCONSOLIDATION,A,21000,8.9,0,0.1,N,3
CUST_00137,25,140250,MORTGAGE,2.0,EDUCATION,D,25000,16.07,0,0.12,N,3
CUST_00138,26,140250,MORTGAGE,10.0,EDUCATION,C,20000,14.22,0,0.09,Y,2
CUST_00139,23,140250,MORTGAGE,7.0,MEDICAL,C,35000,14.79,0,0.16,Y,3
CUST_00140,26,140250,MORTGAGE,11.0,EDUCATION,A,12000,7.88,0,0.06,N,2
CUST_00141,23,52000,RENT,1.0,PERSONAL,C,25000,13.22,1,0.48,N,2
CUST_00142,26,46000,RENT,2.0,DEBTCONSOLIDATION,D,25000,11.86,1,0.54,N,4
CUST_00143,22,53000,RENT,5.0,EDUCATION,C,25000,13.43,1,0.47,Y,4
CUST_00144,26,47000,RENT,0.0,HOMEIMPROVEMENT,D,25000,15.28,1,0.53,Y,2
CUST_00145,23,47000,RENT,1.0,VENTURE,E,25000,17.93,1,0.53,N,2
CUST_00146,23,13200,MORTGAGE,2.0,EDUCATION,B,1400,9.25,0,0.11,N,4
CUST_00147,21,13200,OWN,0.0,VENTURE,C,4500,12.98,1,0.34,N,4
CUST_00148,22,140250,MORTGAGE,6.0,VENTURE,B,16000,10.62,0,0.08,N,4
CUST_00149,26,140250,OWN,10.0,PERSONAL,B,22000,11.83,0,0.1,N,4
CUST_00150,26,48000,RENT,5.0,VENTURE,F,25000,18.43,1,0.52,N,2
CUST_00151,22,54996,RENT,6.0,EDUCATION,B,25000,10.99,1,0.45,N,4
CUST_00152,24,55000,RENT,4.0,HOMEIMPROVEMENT,D,25000,15.31,1,0.45,Y,4
CUST_00153,23,55000,RENT,4.0,EDUCATION,B,25000,11.36,1,0.45,N,3
CUST_00154,23,55000,RENT,4.0,EDUCATION,D,25000,15.65,1,0.45,Y,3
CUST_00155,24,55164,RENT,8.0,PERSONAL,C,25000,13.22,1,0.45,Y,4
CUST_00156,26,56000,RENT,4.0,DEBTCONSOLIDATION,C,25000,12.87,1,0.45,N,2
CUST_00157,24,140250,OWN,8.0,MEDICAL,C,20000,13.04,0,0.1,N,3
CUST_00158,23,140250,MORTGAGE,5.0,EDUCATION,F,22000,17.58,1,0.12,Y,3
CUST_00159,23,13920,OWN,2.0,PERSONAL,E,7750,17.04,1,0.56,N,4
CUST_00160,24,60000,RENT,0.0,PERSONAL,B,25000,10.99,1,0.42,N,3
CUST_00161,24,60000,RENT,2.0,PERSONAL,B,25000,11.11,1,0.42,N,3
CUST_00162,26,54000,RENT,7.0,DEBTCONSOLIDATION,D,25000,14.83,1,0.46,Y,2
CUST_00163,23,14000,OWN,2.0,DEBTCONSOLIDATION,D,4000,15.31,1,0.29,N,3
CUST_00164,24,140250,RENT,8.0,MEDICAL,B,12000,12.69,0,0.06,N,2
CUST_00165,24,140250,MORTGAGE,8.0,HOMEIMPROVEMENT,C,12000,13.49,0,0.06,N,2
CUST_00166,21,140250,MORTGAGE,5.0,EDUCATION,C,16000,14.65,0,0.08,N,4
CUST_00167,25,54000,RENT,3.0,HOMEIMPROVEMENT,E,25000,16.82,1,0.46,N,4
CUST_00168,23,60000,RENT,3.0,PERSONAL,C,25000,12.73,1,0.42,N,3
CUST_00169,23,60000,RENT,7.0,PERSONAL,B,25000,10.25,1,0.42,N,4
CUST_00170,21,60000,RENT,6.0,EDUCATION,B,25000,10.99,1,0.42,N,4
