customer_id,person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,risk_score,risk_tier
CUST_00001,21,9600,OWN,5.0,EDUCATION,B,1000,11.14,0,0.1,N,2,0.030139005,Low
CUST_00002,25,9600,MORTGAGE,1.0,MEDICAL,C,5500,12.87,1,0.57,N,3,0.97328794,High
CUST_00003,23,65500,RENT,4.0,MEDICAL,C,35000,15.23,1,0.53,N,2,0.99686325,High
CUST_00004,24,54400,RENT,8.0,MEDICAL,C,35000,14.27,1,0.55,Y,4,0.99528056,High
CUST_00005,21,9900,OWN,2.0,VENTURE,A,2500,7.14,1,0.25,N,2,0.99854016,High
CUST_00006,26,77100,RENT,8.0,EDUCATION,B,35000,12.42,1,0.45,N,3,0.99555725,High
CUST_00007,24,78956,RENT,5.0,MEDICAL,B,35000,11.11,1,0.44,N,4,0.98904014,High
CUST_00008,24,83000,RENT,8.0,PERSONAL,A,35000,8.9,1,0.42,N,2,0.9918854,High
CUST_00009,21,10000,OWN,6.0,VENTURE,D,1600,14.74,1,0.16,N,3,0.9326605,High
CUST_00010,22,85000,RENT,6.0,VENTURE,B,35000,10.37,1,0.41,N,4,0.99009764,High
CUST_00011,21,10000,OWN,2.0,HOMEIMPROVEMENT,A,4500,8.63,1,0.45,N,2,0.999969,High
CUST_00012,23,95000,RENT,2.0,VENTURE,A,35000,7.9,1,0.37,N,2,0.9889042,High
CUST_00013,26,108160,RENT,4.0,EDUCATION,E,35000,18.39,1,0.32,N,4,0.9923741,High
CUST_00014,23,115000,RENT,2.0,EDUCATION,A,35000,7.9,0,0.3,N,4,0.023184514,Low
CUST_00015,23,140250,MORTGAGE,7.0,DEBTCONSOLIDATION,B,30000,10.65,0,0.06,N,3,0.052878346,Low
CUST_00016,23,120000,RENT,0.0,EDUCATION,A,35000,7.9,0,0.29,N,4,0.027998103,Low
CUST_00017,23,92111,RENT,7.0,MEDICAL,F,35000,20.25,1,0.32,N,4,0.99347335,High
CUST_00018,23,113000,RENT,8.0,DEBTCONSOLIDATION,D,35000,18.25,1,0.31,N,4,0.9995129,High
CUST_00019,24,10800,MORTGAGE,8.0,EDUCATION,B,1750,10.99,1,0.16,N,2,0.99083674,High
CUST_00020,25,140250,RENT,2.0,VENTURE,A,35000,7.49,0,0.22,N,4,0.0013962022,Low
CUST_00021,25,137000,RENT,9.0,PERSONAL,E,34800,16.77,0,0.25,Y,2,0.13368793,Low
CUST_00022,22,65000,RENT,4.0,EDUCATION,D,34000,17.58,1,0.52,N,4,0.9864934,High
CUST_00023,24,10980,OWN,0.0,PERSONAL,A,1500,7.29,0,0.14,N,3,0.009560912,Low
CUST_00024,22,80000,RENT,3.0,PERSONAL,D,33950,14.54,1,0.42,Y,4,0.94877756,High
CUST_00025,24,67746,RENT,8.0,HOMEIMPROVEMENT,C,33000,12.68,1,0.49,N,3,0.99008524,High
CUST_00026,21,11000,MORTGAGE,3.0,VENTURE,E,4575,17.74,1,0.42,Y,3,0.97892797,High
CUST_00027,23,11000,OWN,0.0,PERSONAL,A,1400,9.32,0,0.13,N,3,0.0107830865,Low
CUST_00028,24,65000,RENT,6.0,HOMEIMPROVEMENT,B,32500,9.99,1,0.5,N,3,0.9839676,High
CUST_00029,21,11389,OTHER,5.0,EDUCATION,C,4000,12.84,1,0.35,Y,2,0.99799585,High
CUST_00030,21,11520,OWN,5.0,MEDICAL,B,2000,11.12,1,0.17,N,3,0.99518687,High
CUST_00031,25,120000,RENT,2.0,VENTURE,A,32000,6.62,0,0.27,N,2,0.0025897818,Low
CUST_00032,26,95000,RENT,7.0,HOMEIMPROVEMENT,C,31050,14.17,1,0.33,Y,3,0.9721849,High
CUST_00033,25,140250,RENT,2.0,DEBTCONSOLIDATION,C,24250,13.85,0,0.08,N,3,0.055057835,Low
CUST_00034,26,140250,MORTGAGE,10.0,MEDICAL,C,7800,13.49,0,0.03,N,4,0.02829389,Low
CUST_00035,21,12000,OWN,5.0,EDUCATION,A,2500,7.51,1,0.21,N,4,0.99636346,High
CUST_00036,22,48000,RENT,1.0,EDUCATION,E,30000,18.39,1,0.63,N,2,0.99818295,High
CUST_00037,24,64000,RENT,8.0,DEBTCONSOLIDATION,D,30000,14.54,1,0.47,Y,3,0.9997352,High
CUST_00038,25,75000,RENT,4.0,HOMEIMPROVEMENT,D,30000,16.89,1,0.4,Y,4,0.9316987,High
CUST_00039,23,71500,RENT,3.0,DEBTCONSOLIDATION,D,30000,15.31,1,0.42,N,4,0.9996289,High
CUST_00040,26,62050,RENT,6.0,MEDICAL,E,30000,17.99,1,0.41,N,2,0.99868125,High
CUST_00041,24,12000,OWN,4.0,VENTURE,B,2500,12.69,1,0.21,N,3,0.988903,High
CUST_00042,26,140250,MORTGAGE,10.0,VENTURE,A,20000,7.88,0,0.07,N,4,0.0012297794,Low
CUST_00043,23,140250,OWN,1.0,EDUCATION,F,24250,19.41,0,0.08,Y,2,0.1526504,Low
CUST_00044,26,140250,OWN,9.0,HOMEIMPROVEMENT,B,10000,10.38,0,0.03,N,4,0.0016797874,Low
CUST_00045,26,140250,MORTGAGE,0.0,EDUCATION,D,25000,15.33,0,0.08,N,3,0.26337802,Low
CUST_00046,25,140250,MORTGAGE,9.0,HOMEIMPROVEMENT,E,18000,16.45,0,0.06,N,3,0.066737995,Low
CUST_00047,26,80690,RENT,8.0,PERSONAL,A,30000,7.49,1,0.37,N,3,0.9881849,High
CUST_00048,22,66300,RENT,4.0,MEDICAL,B,30000,12.69,1,0.38,N,3,0.9946662,High
CUST_00049,26,89028,RENT,0.0,DEBTCONSOLIDATION,A,30000,6.62,1,0.34,N,3,0.97055155,High
CUST_00050,24,78000,RENT,4.0,DEBTCONSOLIDATION,D,30000,15.31,1,0.38,Y,4,0.99973863,High
CUST_00051,23,78000,RENT,7.0,DEBTCONSOLIDATION,F,30000,18.62,1,0.38,Y,3,0.9990663,High
CUST_00052,23,92004,RENT,6.0,PERSONAL,C,30000,15.23,1,0.33,Y,3,0.9783237,High
CUST_00053,23,97000,RENT,7.0,VENTURE,B,30000,10.65,1,0.31,N,2,0.9935823,High
CUST_00054,25,120000,RENT,9.0,EDUCATION,A,30000,7.9,0,0.25,N,4,0.041680787,Low
